2026-07-07 21:20:08 | INFO     | trading_bot | → GET https://testnet.binancefuture.com/fapi/v1/time {}
2026-07-07 21:20:08 | INFO     | trading_bot | → GET https://testnet.binancefuture.com/fapi/v2/account {'timestamp': 1783439408348}
2026-07-07 21:20:08 | INFO     | trading_bot | → GET https://testnet.binancefuture.com/fapi/v1/ping {}
2026-07-07 21:20:08 | INFO     | trading_bot | → GET https://testnet.binancefuture.com/fapi/v1/time {}
2026-07-07 21:20:08 | INFO     | trading_bot | → GET https://testnet.binancefuture.com/fapi/v2/account {'timestamp': 1783439408356}
2026-07-07 21:20:08 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v1/ping
2026-07-07 21:20:09 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v1/ping
2026-07-07 21:20:09 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v1/time
2026-07-07 21:20:09 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v1/time
2026-07-07 21:20:09 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v2/account?timestamp=1783439408348&signature=af9fda5d80f571d80835608c399b47506dc151c73ee03706d0d3d045958c6eff
2026-07-07 21:20:09 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v2/account?timestamp=1783439408356&signature=32a18ce5107f0b61b7a05aed77e27a3e9da498ff663c5aff904ab15c77fb5a37
2026-07-07 21:20:19 | INFO     | trading_bot | → GET https://testnet.binancefuture.com/fapi/v1/ping {}
2026-07-07 21:20:19 | INFO     | trading_bot | → GET https://testnet.binancefuture.com/fapi/v1/time {}
2026-07-07 21:20:19 | INFO     | trading_bot | → GET https://testnet.binancefuture.com/fapi/v2/account {'timestamp': 1783439419275}
2026-07-07 21:20:19 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v1/ping
2026-07-07 21:20:19 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v1/time
2026-07-07 21:20:19 | INFO     | trading_bot | ← 200 https://testnet.binancefuture.com/fapi/v2/account?timestamp=1783439419275&signature=9087ca3112f7cb8faa75d50b9d6a684d46bde51d844ecfb6675781af2c0fc87f
2026-07-07 21:20:28 | INFO     | trading_bot | Shut down
